Time,Minutes,Hours,Total_error,Machine
4:40:00,280,4.67,270,Forty-six
4:42:00,282,4.7,187,Forty-six
6:10:00,370,6.17,182,Forty-six
0:02:00,2,0.03,8,Forty-six
4:45:00,285,4.75,237,Forty-six
6:50,410,6.83,111,Forty-six
6:59:00,419,6.98,127,Forty-six
9:11,551,9.18,166,Forty-six
7:47,467,7.78,185,Forty-six
7:04:00,424,7.07,153,Forty-six
3:22:00,202,3.37,90,Forty-six
6:29:00,389,6.48,205,Forty-six
4:32:00,272,4.53,139,Forty-six
5:33:00,333,5.55,224,Forty-six
10:59:00,659,10.98,224,Forty-six
7:30:00,450,7.5,177,Forty-six
2:29:00,149,2.48,40,Forty-six
6:42:00,402,6.7,250,Forty-six
3:54:00,234,3.9,261,Forty-six
12:04:00,724,12.07,219,Forty-six
6:09:00,369,6.15,277,Forty-six
23:59:59,1439.98,24,184,Forty-six
0:38:00,38,0.63,175,Forty-six
6:19,379,6.32,200,Forty-six
10:51:00,651,10.85,267,Forty-six
7:13,433,7.22,221,Forty-six
6:18,378,6.3,207,Forty-six
5:19,319,5.32,95,Forty-six
11:27:00,687,11.45,193,Forty-seven
11:20:00,680,11.33,173,Forty-seven
23:55,1435,23.92,824,Forty-seven
0:38:00,38,0.63,35,Forty-seven
15:42:00,942,15.7,153,Forty-seven
17:47:00,1067,17.78,128,Forty-seven
12:27:00,747,12.45,140,Forty-seven
8:45:00,525,8.75,121,Forty-seven
8:23:00,503,8.38,122,Forty-seven
15:51:59,951.98,15.87,192,Forty-seven
2:50:00,170,2.83,162,Forty-seven
7:35:00,455,7.58,158,Forty-seven
6:36:28,396.47,6.61,224,Forty-seven
7:52:37,472.62,7.88,179,Forty-seven
8:14:50,494.83,8.25,246,Forty-seven
15:42:37,942.62,15.71,187,Forty-seven
22:12:20,1332.33,22.21,155,Forty-seven
17:23:00,1043,17.38,180,Forty-seven
9:23:16,563.27,9.39,153,Forty-seven
9:05:25,545.42,9.09,122,Forty-seven
15:48:58,948.97,15.82,237,Forty-seven
23:59:55,1439.92,24,836,Forty-seven
5:16:42,316.7,5.28,237,Forty-seven
5:46:13,346.22,5.77,237,Forty-seven
1:19:46,79.77,1.33,391,Forty-seven
6:53:18,413.3,6.89,296,Forty-seven
7:56:39,476.65,7.94,313,Forty-seven
8:37:37,517.62,8.63,365,Forty-seven
11:24:13,684.22,11.4,306,Forty-seven
4:42:16,282.27,4.7,40,Forty-seven
4:54:18,294.3,4.91,147,Forty-seven
11:20:00,680,11.33,152,Forty-nine
11:04:00,664,11.07,130,Forty-nine
9:04:00,544,9.07,195,Forty-nine
15:01:00,901,15.02,195,Forty-nine
6:22:00,382,6.37,89,Forty-nine
10:39:00,639,10.65,196,Forty-nine
6:57:00,417,6.95,152,Forty-nine
5:23:00,323,5.38,489,Forty-nine
8:43:00,523,8.72,243,Forty-nine
5:48:00,348,5.8,258,Forty-nine
7:15,435,7.25,417,Forty-nine
5:15:00,315,5.25,313,Forty-nine
9:07:25,547.42,9.12,240,Forty-nine
12:10:10,730.17,12.17,119,Forty-nine
9:47:17,587.28,9.79,281,Forty-nine
10:19:23,619.38,10.32,272,Forty-nine
4:56:29,296.48,4.94,205,Forty-nine
5:08:19,308.32,5.14,266,Forty-nine
5:18:18,318.3,5.31,110,Forty-nine
7:43:29,463.48,7.72,220,Forty-nine
10:26:34,626.57,10.44,256,Forty-nine
23:59:41,1439.68,23.99,836,Forty-nine
5:16:42,316.7,5.28,237,Forty-nine
5:59:13,359.22,5.99,237,Forty-nine
6:01:37,361.62,6.03,391,Forty-nine
6:53:18,413.3,6.89,296,Forty-nine
7:56:39,476.65,7.94,313,Forty-nine
8:37:37,517.62,8.63,365,Forty-nine
11:24:13,684.22,11.4,306,Forty-nine
4:42:16,282.27,4.7,40,Forty-nine
4:54:18,294.3,4.91,147,Forty-nine
12:03:00,723,12.05,126,Fifty
6:25:00,385,6.42,143,Fifty
12:02:00,722,12.03,137,Fifty
5:14:00,314,5.23,127,Fifty
11:54:00,714,11.9,89,Fifty
12:12:00,732,12.2,117,Fifty
12:09:00,729,12.15,73,Fifty
18:22:00,1102,18.37,62,Fifty
12:11:00,731,12.18,50,Fifty
20:11:00,1211,20.18,81,Fifty
2:22:00,142,2.37,55,Fifty
13:01:00,781,13.02,89,Fifty
4:20:37,260.62,4.34,37,Fifty
7:36:50,456.83,7.61,82,Fifty
11:15:16,675.27,11.25,111,Fifty
14:04:12,844.2,14.07,154,Fifty
19:32:43,1172.72,19.55,134,Fifty
5:18:09,318.15,5.3,197,Fifty
6:04:28,364.47,6.07,112,Fifty
13:16:48,796.8,13.28,177,Fifty
11:31:42,691.7,11.53,145,Fifty
6:30:31,390.52,6.51,147,Fifty
6:28:00,388,6.47,155,Fifty
9:39:35,579.58,9.66,145,Fifty
12:00:08,720.13,12,89,Fifty
11:52:19,712.32,11.87,159,Fifty
12:05:24,725.4,12.09,130,Fifty
11:57:23,717.38,11.96,141,Fifty
2:02:26,122.43,2.04,86,Fifty
8:30:00,510,8.5,144,Fifty-one
15:55:00,955,15.92,56,Fifty-one
14:48:00,888,14.8,124,Fifty-one
5:26:00,326,5.43,64,Fifty-one
4:58:00,298,4.97,102,Fifty-one
6:59:00,419,6.98,160,Fifty-one
6:42:00,402,6.7,154,Fifty-one
5:10:00,310,5.17,187,Fifty-one
4:03:00,243,4.05,95,Fifty-one
7:23:00,443,7.38,103,Fifty-one
4:23:00,263,4.38,143,Fifty-one
2:03:00,123,2.05,48,Fifty-one
3:40:00,220,3.67,36,Fifty-one
6:41:00,401,6.68,139,Fifty-one
2:47:00,167,2.78,65,Fifty-one
15:49:00,949,15.82,54,Fifty-one
8:39:00,519,8.65,124,Fifty-one
5:34:00,334,5.57,120,Fifty-one
5:27:00,327,5.45,74,Fifty-one
5:50:00,350,5.83,212,Fifty-one
5:18:00,318,5.3,118,Fifty-one
10:07:00,607,10.12,169,Fifty-one
15:49:00,949,15.82,69,Fifty-one
8:23,503,8.38,101,Fifty-one
13:14:00,794,13.23,102,Fifty-one
9:50:00,590,9.83,124,Fifty-one
9:13:00,553,9.22,266,Fifty-one
9:29:00,569,9.48,153,Fifty-one
9:31:00,571,9.52,121,Fifty-one
5:55:00,355,5.92,140,Fifty-one
2:20:00,140,2.33,32,Fifty-one
18:52:09,1132.15,18.87,132,Forty-six
6:10:54,370.9,6.18,198,Forty-six
7:37:00,457,7.62,161,Forty-six
6:22:00,382,6.37,300,Forty-six
10:30:00,630,10.5,302,Forty-six
4:27:00,267,4.45,0,Forty-six
7:30:00,450,7.5,286,Forty-six
3:38:00,218,3.63,123,Forty-six
14:14:00,854,14.23,128,Forty-six
14:05:00,845,14.08,71,Forty-six
5:52:00,352,5.87,245,Forty-six
12:10:00,730,12.17,217,Forty-six
22:43:10,1363.17,22.72,114,Forty-six
0:24:52,24.87,0.41,198,Forty-six
5:08:56,308.93,5.15,172,Forty-six
4:51:55,291.92,4.87,287,Forty-six
7:53:26,473.43,7.89,233,Forty-six
8:27:38,507.63,8.46,105,Forty-six
7:23:13,443.22,7.39,212,Forty-six
9:23:00,563,9.38,210,Forty-six
3:54:16,234.27,3.9,158,Forty-six
2:30:00,150,2.5,133,Forty-six
4:42:54,282.9,4.72,83,Forty-six
2:35:56,155.93,2.6,196,Forty-six
6:20:36,380.6,6.34,112,Forty-six
5:35:46,335.77,5.6,202,Forty-six
11:01:15,661.25,11.02,223,Forty-six
0:35:48,35.8,0.6,243,Forty-six
9:45:59,585.98,9.77,154,Forty-six
18:54,1134,18.9,155,Forty-seven
8:59,539,8.98,222,Forty-seven
6:05,365,6.08,244,Forty-seven
15:36,936,15.6,184,Forty-seven
6:33,393,6.55,157,Forty-seven
7:04,424,7.07,131,Forty-seven
9:04,544,9.07,133,Forty-seven
3:02,182,3.03,93,Forty-seven
6:19,379,6.32,92,Forty-seven
5:16,316,5.27,67,Forty-seven
8:24,504,8.4,141,Forty-seven
13:40,820,13.67,83,Forty-seven
8:36,516,8.6,105,Forty-seven
5:54:54,354.9,5.92,141,Forty-seven
8:06,486,8.1,114,Forty-seven
6:36,396,6.6,197,Forty-seven
5:05,305,5.08,142,Forty-seven
15:56,956,15.93,110,Forty-seven
6:10,370,6.17,212,Forty-seven
10:03,603,10.05,194,Forty-seven
5:33,333,5.55,103,Forty-seven
14:25,865,14.42,196,Forty-seven
6:52,412,6.87,165,Forty-seven
9:55,595,9.92,101,Forty-seven
6:06,366,6.1,121,Forty-seven
7:26,446,7.43,207,Forty-seven
8:37,517,8.62,214,Forty-seven
1:04:00,64,1.07,135,Forty-seven
10:20,620,10.33,153,Forty-seven
8:49:00,529,8.82,244,Forty-nine
5:20:00,320,5.33,322,Forty-nine
7:51:00,471,7.85,227,Forty-nine
12:03:00,723,12.05,239,Forty-nine
7:11:00,431,7.18,263,Forty-nine
6:40:00,400,6.67,313,Forty-nine
7:14:00,434,7.23,275,Forty-nine
4:16:00,256,4.27,124,Forty-nine
12:40:00,760,12.67,105,Forty-nine
4:09:00,249,4.15,89,Forty-nine
4:53:00,293,4.88,183,Forty-nine
5:02:00,302,5.03,155,Forty-nine
3:34:11,214.18,3.57,134,Forty-nine
5:39:39,339.65,5.66,461,Forty-nine
10:55:51,655.85,10.93,303,Forty-nine
5:32:02,332.03,5.53,236,Forty-nine
10:53:06,653.1,10.89,252,Forty-nine
10:56:34,656.57,10.94,295,Forty-nine
9:33:07,573.12,9.55,268,Forty-nine
10:59:08,659.13,10.99,240,Forty-nine
1:45:37,105.62,1.76,216,Forty-nine
6:52:18,412.3,6.87,212,Forty-nine
7:26:15,446.25,7.44,225,Forty-nine
4:14:35,254.58,4.24,236,Forty-nine
6:41:45,401.75,6.7,133,Forty-nine
5:44:03,344.05,5.73,334,Forty-nine
15:47:22,947.37,15.79,201,Forty-nine
2:33:45,153.75,2.56,247,Forty-nine
7:50:05,470.08,7.83,179,Forty-nine
12:13:00,733,12.22,93,Fifty
5:12:00,312,5.2,73,Fifty
7:00:00,420,7,115,Fifty
6:48:00,408,6.8,106,Fifty
7:37:00,457,7.62,163,Fifty
9:13:00,553,9.22,89,Fifty
18:23:00,1103,18.38,118,Fifty
4:47:00,287,4.78,63,Fifty
10:37:00,637,10.62,137,Fifty
4:42:00,282,4.7,64,Fifty
19:06,1146,19.1,92,Fifty
7:44:51,464.85,7.75,85,Fifty
0:31:36,31.6,0.53,80,Fifty
10:25:05,625.08,10.42,162,Fifty
6:55:22,415.37,6.92,86,Fifty
7:09:14,429.23,7.15,117,Fifty
7:02:02,422.03,7.03,100,Fifty
2:41:46,161.77,2.7,113,Fifty
10:47:05,647.08,10.78,191,Fifty
5:23:24,323.4,5.39,84,Fifty
6:35:44,395.73,6.6,191,Fifty
6:47:29,407.48,6.79,103,Fifty
8:43:03,523.05,8.72,137,Fifty
6:46:58,406.97,6.78,147,Fifty
15:06:58,906.97,15.12,97,Fifty
16:56:44,1016.73,16.95,134,Fifty
0:24:42,24.7,0.41,127,Fifty
13:52:38,832.63,13.88,95,Fifty
7:31,451,7.52,117,Fifty-one
11:39:00,699,11.65,159,Fifty-one
18:59:00,1139,18.98,71,Fifty-one
13:52:00,832,13.87,97,Fifty-one
0:26,26,0.43,119,Fifty-one
8:17:00,497,8.28,64,Fifty-one
18:10:00,1090,18.17,218,Fifty-one
2:08,128,2.13,123,Fifty-one
3:59:00,239,3.98,302,Fifty-one
4:43,283,4.72,132,Fifty-one
2:58,178,2.97,14,Fifty-one
16:20,980,16.33,0,Fifty-one
22:19,1339,22.32,28,Fifty-one
6:12,372,6.2,231,Fifty-one
8:19,499,8.32,67,Fifty-one
3:10:00,190,3.17,26,Fifty-one
4:23,263,4.38,47,Fifty-one
10:39:00,639,10.65,90,Fifty-one
0:40,40,0.67,62,Fifty-one
10:50:00,650,10.83,54,Fifty-one
1:00:00,60,1,0,Fifty-one
8:38:00,518,8.63,134,Fifty-one
5:39:00,339,5.65,27,Fifty-one
13:20:00,800,13.33,41,Fifty-one
6:48:00,408,6.8,177,Fifty-one
15:58:00,958,15.97,138,Fifty-one
4:18,258,4.3,85,Fifty-one
6:59:00,419,6.98,139,Fifty-one
2:28:00,148,2.47,170,Forty-six
3:00:00,180,3,97,Forty-six
4:00:00,240,4,195,Forty-six
4:00:00,240,4,254,Forty-six
8:00:00,480,8,174,Forty-six
4:19:00,259,4.32,145,Forty-six
5:10:00,310,5.17,242,Forty-six
6:37:00,397,6.62,250,Forty-six
6:07:00,367,6.12,144,Forty-six
6:26:00,386,6.43,175,Forty-six
7:16:00,436,7.27,216,Forty-six
3:32:00,212,3.53,189,Forty-six
2:20:00,140,2.33,211,Forty-six
6:44:00,404,6.73,228,Forty-six
4:54:00,294,4.9,157,Forty-six
7:00:00,420,7,111,Forty-six
8:00:00,480,8,202,Forty-six
15:38:00,938,15.63,376,Forty-six
23:43:00,1423,23.72,1047,Forty-six
3:06:00,186,3.1,1111,Forty-six
0:20:00,20,0.33,328,Forty-six
0:50:00,50,0.83,41,Forty-six
17:40:34,1060.57,17.68,525,Forty-six
23:59:25,1439.42,23.99,1195,Forty-six
9:21:21,561.35,9.36,1424,Forty-six
15:50:00,950,15.83,378,Forty-six
1:44:16,104.27,1.74,158,Forty-seven
7:31:00,451,7.52,202,Forty-seven
15:00:00,900,15,157,Forty-seven
6:53:15,413.25,6.89,222,Forty-seven
17:20:43,1040.72,17.35,187,Forty-seven
2:38:48,158.8,2.65,149,Forty-seven
9:21:36,561.6,9.36,179,Forty-seven
11:07:17,667.28,11.12,190,Forty-seven
23:57:09,1437.15,23.95,707,Forty-seven
10:59:54,659.9,11,166,Forty-seven
11:29:37,689.62,11.49,147,Forty-seven
13:46:30,826.5,13.78,95,Forty-seven
5:59:40,359.67,5.99,225,Forty-seven
4:57:06,297.1,4.95,313,Forty-seven
7:44:06,464.1,7.74,190,Forty-seven
13:35:56,815.93,13.6,292,Forty-seven
8:18:57,498.95,8.32,232,Forty-seven
7:39:23,459.38,7.66,158,Forty-seven
15:56:07,956.12,15.94,188,Forty-seven
0:01:53,1.88,0.03,124,Forty-seven
14:25:58,865.97,14.43,140,Forty-seven
5:15:48,315.8,5.26,213,Forty-seven
2:22:54,142.9,2.38,83,Forty-seven
12:44:45,764.75,12.75,160,Forty-seven
8:23:55,503.92,8.4,215,Forty-nine
4:44:02,284.03,4.73,349,Forty-nine
14:41:03,881.05,14.68,193,Forty-nine
10:59:35,659.58,10.99,252,Forty-nine
3:45:50,225.83,3.76,222,Forty-nine
1:31:58,91.97,1.53,304,Forty-nine
9:38:56,578.93,9.65,200,Forty-nine
23:59:59,1439.98,24,955,Forty-nine
23:54:22,1434.37,23.91,1091,Forty-nine
11:59:10,719.17,11.99,108,Forty-nine
4:28:59,268.98,4.48,193,Forty-nine
9:12:41,552.68,9.21,311,Forty-nine
6:05:45,365.75,6.1,352,Forty-nine
11:02:20,662.33,11.04,355,Forty-nine
5:48:04,348.07,5.8,216,Forty-nine
9:19:50,559.83,9.33,295,Forty-nine
6:54:54,414.9,6.92,325,Forty-nine
4:30:54,270.9,4.52,289,Forty-nine
17:58:58,1078.97,17.98,282,Forty-nine
6:29:53,389.88,6.5,211,Forty-nine
1:18:57,78.95,1.32,1,Forty-nine
11:26:00,686,11.43,150,Forty-nine
4:27:27,267.45,4.46,89,Forty-nine
6:59:21,419.35,6.99,516,Forty-nine
4:11:10,251.17,4.19,147,Forty-nine
1:07:44,67.73,1.13,35,Fifty
6:38:38,398.63,6.64,122,Fifty
6:12:08,372.13,6.2,224,Fifty
6:59:26,419.43,6.99,63,Fifty
12:43:06,763.1,12.72,53,Fifty
1:36:56,96.93,1.62,80,Fifty
16:39:10,999.17,16.65,135,Fifty
7:19:23,439.38,7.32,134,Fifty
0:49:46,49.77,0.83,14,Fifty
6:29:37,389.62,6.49,147,Fifty
6:25:00,385,6.42,91,Fifty
19:04:14,1144.23,19.07,95,Fifty
6:07:58,367.97,6.13,127,Fifty
7:11:05,431.08,7.18,79,Fifty
9:38:23,578.38,9.64,108,Fifty
17:43:38,1063.63,17.73,105,Fifty
12:50:19,770.32,12.84,78,Fifty
8:49:59,529.98,8.83,97,Fifty
1:31:27,91.45,1.52,86,Fifty
1:21:51,81.85,1.36,52,Fifty
8:04:46,484.77,8.08,108,Fifty
10:10:18,610.3,10.17,136,Fifty
6:31:17,391.28,6.52,76,Fifty
1:46:03,106.05,1.77,29,Fifty-one
9:45:25,585.42,9.76,151,Fifty-one
4:16:25,256.42,4.27,48,Fifty-one
4:36:06,276.1,4.6,64,Fifty-one
11:26:55,686.92,11.45,102,Fifty-one
0:48:12,48.2,0.8,18,Fifty-one
4:57:36,297.6,4.96,106,Fifty-one
10:15:25,615.42,10.26,157,Fifty-one
7:00:51,420.85,7.01,157,Fifty-one
12:03:06,723.1,12.05,97,Fifty-one
6:27:04,387.07,6.45,142,Fifty-one
4:59:51,299.85,5,129,Fifty-one
2:03:23,123.38,2.06,4,Fifty-one
15:52:46,952.77,15.88,111,Fifty-one
4:35:58,275.97,4.6,77,Fifty-one
7:16:27,436.45,7.27,207,Fifty-one
3:56:22,236.37,3.94,63,Fifty-one
4:00:31,240.52,4.01,97,Fifty-one
6:45:22,405.37,6.76,40,Fifty-one
1:29:36,89.6,1.49,64,Fifty-one
6:22:10,382.17,6.37,152,Fifty-one
5:22:57,322.95,5.38,122,Fifty-one
8:38:27,518.45,8.64,188,Fifty-one
5:07:59,307.98,5.13,185,Fifty-one
